Sitecore

,Field Template,Field Name,Field Type,Field Guid
Article
,Lifetime,__Hide version,checkbox,b8f42732-9cb8-478d-ae95-07e25345fb0f
,Lifetime,__Valid from,datetime,c8f93afe-bfd4-4e8f-9c61-152559854661
,Lifetime,__Valid to,datetime,4c346442-e859-4efd-89b2-44aedf467d21
,Publishing,__Never publish,checkbox,9135200a-5626-4dd8-ab9d-d665b8c11748
,Publishing,__Publish,datetime,86fe4f77-4d9a-4ec3-9ed9-263d03bd1965
,Publishing,__Publishing groups,checklist,74484bdf-7c86-463c-b49f-7b73b9afc965
,Publishing,__Unpublish,datetime,7ead6fd6-6cf1-4aca-ac6b-b200e7bafe88
,Security,__Owner,Single-Line Text,52807595-0f8f-4b20-8d2a-cb71d28c6103
,Security,__Security,security,dec8d2d5-e3cf-48b6-a653-8e69e2716641
,Statistics,__Created,datetime,25bed78c-4957-4165-998a-ca1b52f67497
,Statistics,__Created by,Single-Line Text,5dd74568-4d4b-44c1-b513-0af5f4cda34f
,Statistics,__Revision,Single-Line Text,8cdc337e-a112-42fb-bbb4-4143751e123f
,Statistics,__Updated,datetime,d9cf14b1-fa16-4ba6-9288-e8a174d4d522
,Statistics,__Updated by,Single-Line Text,badd9cf9-53e0-4d0c-bcc0-2d784c282f6a
,Tagging,__Semantics,Multilist with Search,a14f1b0c-4384-49ec-8790-28a440f3670c
,Tasks,__Archive date,datetime,56c15c6d-fd5a-40ca-bb37-64ceec6a9bd5
,Tasks,__Archive Version date,Datetime,1d99005e-65ca-45ca-9d9a-fd7016e23f1e
,Tasks,__Reminder date,datetime,abe5d54c-59d7-41e6-8d3f-c1a3e4ec9b9e
,Tasks,__Reminder recipients,Single-Line Text,2ed9c4d0-9eff-490d-a40a-b5d856499c40
,Tasks,__Reminder text,Multi-Line Text,bb6c8540-118e-4c49-9157-830576d7345a
,Validators,__Quick Action Bar Validation Rules,TreelistEx,c2f5b2b5-71c1-431e-bf7f-dbdc1e5a2f83
,Validators,__Suppressed Validation Rules,Multi-Line Text,f47c0d78-61f9-479c-96df-1159727d32c6
,Validators,__Validate Button Validation Rules,TreelistEx,57cbca4c-8c94-446c-b8ca-7d8dc54f4285
,Validators,__Validator Bar Validation Rules,TreelistEx,b7e5b151-b145-4ced-85c5-fbdb566dfa4d
,Validators,__Workflow Validation Rules,TreelistEx,86b52eef-078e-4d9e-80bf-888287070e6c
,Workflow,__Default workflow,Droptree,ca9b9f52-4fb0-4f87-a79f-24dea62cda65
,Workflow,__Lock,Multi-Line Text,001dd393-96c5-490b-924a-b0f25cd9efd8
,Workflow,__Workflow,Droptree,a4f985d9-98b3-4b52-aaaf-4344f6e747c6
,Workflow,__Workflow state,Droptree,3e431de1-525e-47a3-b6b0-1ccbec3a8c98


Employee
,_Employee,Email,Single-Line Text,5978b330-1d46-4065-8751-f74bf17d815e
