Name,Guid,Language,LatestVersion,Path
"_Quote",755f1188-d385-4717-8681-ef45f2258575,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Person\_Quote\{755F1188-D385-4717-8681-EF45F2258575}\en\1\xml"
"_RenderingAssets",7ceac341-b953-4c69-b907-ee44302bf6ae,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Assets\_RenderingAssets\{7CEAC341-B953-4C69-B907-EE44302BF6AE}\en\1\xml"
"_SearchContext",b524e8be-a099-4a63-be3f-dd4c42fd4185,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Search\_SearchContext\{B524E8BE-A099-4A63-BE3F-DD4C42FD4185}\en\1\xml"
"_SearchResults",14e452ca-064d-48a8-9ff2-2744d10437a1,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Search\_SearchResults\{14E452CA-064D-48A8-9FF2-2744D10437A1}\en\1\xml"
"_Site",bb85c5c2-9f87-48ce-8012-af67cf4f765d,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Multisite\_Site\{BB85C5C2-9F87-48CE-8012-AF67CF4F765D}\en\1\xml"
"_SiteConfiguration",0fccfe4f-b087-498f-bd26-5cdffc522c9a,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Multisite\_SiteConfiguration\{0FCCFE4F-B087-498F-BD26-5CDFFC522C9A}\en\1\xml"
"_SiteMetadata",cf38e914-9298-47cc-9205-210553e79f97,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Metadata\_SiteMetadata\{CF38E914-9298-47CC-9205-210553E79F97}\en\1\xml"
"_SiteSettings",bccfebea-dccb-48fe-9570-6503829ec03f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Multisite\_SiteSettings\{BCCFEBEA-DCCB-48FE-9570-6503829EC03F}\en\1\xml"
"_TeaserContent",fec0e62a-01fd-40e5-88f3-e5229fe79527,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Teasers\_TeaserContent\{FEC0E62A-01FD-40E5-88F3-E5229FE79527}\en\1\xml"
"_TeasersParameters",20748d57-4ef6-49a8-b7e6-13818795e3b5,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Teasers\_TeasersParameters\{20748D57-4EF6-49A8-B7E6-13818795E3B5}\en\1\xml"
"_TeaserVideoContent",04075eb6-6d94-4bf2-9aeb-d29a89cdba00,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Teasers\_TeaserVideoContent\{04075EB6-6D94-4BF2-9AEB-D29A89CDBA00}\en\1\xml"
"_TextToken",327d6873-a384-435a-be87-7e869782b243,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Demo\_TextToken\{327D6873-A384-435A-BE87-7E869782B243}\en\1\xml"
"_Token",a7ebf38a-5f66-4579-92d1-568a8ba50293,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Demo\_Token\{A7EBF38A-5F66-4579-92D1-568A8BA50293}\en\1\xml"
"_TwitterFeed",89d988bc-a9a7-43f5-a9fd-a05b0b164720,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Social\_TwitterFeed\{89D988BC-A9A7-43F5-A9FD-A05B0B164720}\en\1\xml"
"_TwitterFeedRenderingProperties",9eee8077-990f-4fde-95fb-c7b9819df913,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Social\_TwitterFeedRenderingProperties\{9EEE8077-990F-4FDE-95FB-C7B9819DF913}\en\1\xml"
"Advanced",646f4b34-708c-41c2-9f4b-2661849777f3,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Advanced\{646F4B34-708C-41C2-9F4B-2661849777F3}\en\1\xml"
"Appearance",f5bc7ae4-f62d-47cd-9afb-2c9f85d8313b,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Templates\Sections\Appearance\{F5BC7AE4-F62D-47CD-9AFB-2C9F85D8313B}\en\1\xml"
"Article",94a8c8e9-690b-4e65-98e7-f95800222767,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Article\{94A8C8E9-690B-4E65-98E7-F95800222767}\en\1\xml"
"Background Type",55a5bdad-eb69-40f5-8195-cda182e48ee4,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Media\Background Type\{55A5BDAD-EB69-40F5-8195-CDA182E48EE4}\en\1\xml"
"Background Type Folder",1fd75c49-f524-4c15-9f82-dcb2d4cf2fa9,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Media\Background Type Folder\{1FD75C49-F524-4C15-9F82-DCB2D4CF2FA9}\en\1\xml"
"Campaign Token",51b1726b-4290-4908-a2da-b169194ae80c,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Demo Tokens\Campaign Token\{51B1726B-4290-4908-A2DA-B169194AE80C}\en\1\xml"
"Carousel",c18d3794-d126-4548-bfc8-89358de6e9c1,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Media\Carousel\{C18D3794-D126-4548-BFC8-89358DE6E9C1}\en\1\xml"
"Controller rendering",2a3e91a0-7987-44b5-ab34-35c2d9de83b9,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\System\Layout\Renderings\Controller rendering\{2A3E91A0-7987-44B5-AB34-35C2D9DE83B9}\en\1\xml"
"Datasource Configuration",c82dc5ff-09ef-4403-96d3-3caf377b8c5b,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Multisite\Datasource Configuration\{C82DC5FF-09EF-4403-96D3-3CAF377B8C5B}\en\1\xml"
"Datasource Settings Folder",7a98be60-9f59-4064-82c2-58da63562fa5,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Multisite\Datasource Settings Folder\{7A98BE60-9F59-4064-82C2-58DA63562FA5}\en\1\xml"
"Demo Page",49c651ba-4004-40a9-9b0f-e95d0573f3ae,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Page Types\Demo Page\{49C651BA-4004-40A9-9B0F-E95D0573F3AE}\en\1\xml"
"Demo Teaser",b4f6f114-e653-4a22-86c5-499e0bd99d9a,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Demo Teaser\{B4F6F114-E653-4A22-86C5-499E0BD99D9A}\en\1\xml"
"DictionaryEntry",ec4dd3f2-590d-404b-9189-2a12679749cc,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Dictionary\DictionaryEntry\{EC4DD3F2-590D-404B-9189-2A12679749CC}\en\1\xml"
